"","data_action"
"2347","First Party Collection/Use"
"2348","First Party Collection/Use"
"2349","First Party Collection/Use"
"2350","First Party Collection/Use"
"2351","First Party Collection/Use"
"2352","First Party Collection/Use"
"2353","First Party Collection/Use"
"2354","First Party Collection/Use"
"2355","First Party Collection/Use"
"2356","Other"
"2357","Other"
"2358","Third Party Sharing/Collection"
"2359","First Party Collection/Use"
"2360","First Party Collection/Use"
"2361","Other"
"2362","First Party Collection/Use"
"2363","First Party Collection/Use"
"2364","First Party Collection/Use"
"2365","First Party Collection/Use"
"2366","First Party Collection/Use"
"2367","Third Party Sharing/Collection"
"2368","Third Party Sharing/Collection"
"2369","Third Party Sharing/Collection"
"2370","Third Party Sharing/Collection"
"2371","Data Security"
"2372","Other"
"2373","Third Party Sharing/Collection"
"2374","Third Party Sharing/Collection"
"2375","Third Party Sharing/Collection"
"2376","Third Party Sharing/Collection"
"2377","Third Party Sharing/Collection"
"2378","Other"
"2379","Third Party Sharing/Collection"
"2380","Third Party Sharing/Collection"
"2381","Third Party Sharing/Collection"
"2382","Third Party Sharing/Collection"
"2383","Third Party Sharing/Collection"
"2384","Third Party Sharing/Collection"
"2385","Third Party Sharing/Collection"
"2386","First Party Collection/Use"
"2387","Third Party Sharing/Collection"
"2388","Third Party Sharing/Collection"
"2389","First Party Collection/Use"
"2390","Third Party Sharing/Collection"
"2391","First Party Collection/Use"
"2392","Third Party Sharing/Collection"
"2393","Third Party Sharing/Collection"
"2394","Third Party Sharing/Collection"
"2395","Third Party Sharing/Collection"
"2396","First Party Collection/Use"
"2397","Third Party Sharing/Collection"
"2398","First Party Collection/Use"
"2399","Third Party Sharing/Collection"
"2400","Third Party Sharing/Collection"
"2401","Third Party Sharing/Collection"
"2402","Third Party Sharing/Collection"
"2403","Data Security"
"2404","Data Security"
"2405","Data Security"
"2406","Data Security"
"2407","Other"
"2408","International and Specific Audiences"
"2409","Other"
"2410","Other"
"2411","User Access, Edit and Deletion"
"2412","User Access, Edit and Deletion"
"2413","User Access, Edit and Deletion"
"2414","Other"
"2415","User Access, Edit and Deletion"
"2416","Third Party Sharing/Collection"
"2417","Other"
"2418","Other"
"2419","User Access, Edit and Deletion"
"2420","Third Party Sharing/Collection"
"2421","Third Party Sharing/Collection"
"2422","Other"
"2423","Other"
"2424","Other"
"2425","Policy Change"
"2426","Other"
"2427","Policy Change"
"2428","Other"
"2429","Policy Change"
"2430","Data Security"
"2431","Other"
"2432","Policy Change"
"2433","Policy Change"
"2434","Other"
"2435","First Party Collection/Use"
"2436","Third Party Sharing/Collection"
"2437","Data Security"
"2438","First Party Collection/Use"
"2439","User Access, Edit and Deletion"
"2440","User Access, Edit and Deletion"
"2441","International and Specific Audiences"
"2442","Other"
"2443","International and Specific Audiences"
"2444","Policy Change"
"2445","Other"
"2446","First Party Collection/Use"
"2447","First Party Collection/Use"
"2448","First Party Collection/Use"
"2449","First Party Collection/Use"
"2450","First Party Collection/Use"
"2451","First Party Collection/Use"
"2452","First Party Collection/Use"
"2453","First Party Collection/Use"
"2454","First Party Collection/Use"
"2455","First Party Collection/Use"
"2456","First Party Collection/Use"
"2457","First Party Collection/Use"
"2458","Third Party Sharing/Collection"
"2459","First Party Collection/Use"
"2460","User Choice/Control"
"2461","First Party Collection/Use"
"2462","First Party Collection/Use"
"2463","First Party Collection/Use"
"2464","First Party Collection/Use"
"2465","First Party Collection/Use"
"2466","First Party Collection/Use"
"2467","Data Retention"
"2468","First Party Collection/Use"
"2469","First Party Collection/Use"
"2470","First Party Collection/Use"
"2471","First Party Collection/Use"
"2472","First Party Collection/Use"
"2473","First Party Collection/Use"
"2474","First Party Collection/Use"
"2475","Other"
"2476","First Party Collection/Use"
"2477","Data Security"
"2478","First Party Collection/Use"
"2479","First Party Collection/Use"
"2480","First Party Collection/Use"
"2481","First Party Collection/Use"
"2482","First Party Collection/Use"
"2483","First Party Collection/Use"
"2484","Data Retention"
"2485","First Party Collection/Use"
"2486","First Party Collection/Use"
"2487","First Party Collection/Use"
"2488","First Party Collection/Use"
"2489","User Access, Edit and Deletion"
"2490","First Party Collection/Use"
"2491","First Party Collection/Use"
"2492","First Party Collection/Use"
"2493","First Party Collection/Use"
"2494","Other"
"2495","First Party Collection/Use"
"2496","First Party Collection/Use"
"2497","Third Party Sharing/Collection"
"2498","First Party Collection/Use"
"2499","First Party Collection/Use"
"2500","Third Party Sharing/Collection"
"2501","Third Party Sharing/Collection"
"2502","Third Party Sharing/Collection"
"2503","Third Party Sharing/Collection"
"2504","Third Party Sharing/Collection"
"2505","Third Party Sharing/Collection"
"2506","Third Party Sharing/Collection"
"2507","Other"
"2508","Third Party Sharing/Collection"
"2509","Third Party Sharing/Collection"
"2510","User Choice/Control"
"2511","User Choice/Control"
"2512","First Party Collection/Use"
"2513","First Party Collection/Use"
"2514","First Party Collection/Use"
"2515","Third Party Sharing/Collection"
"2516","Third Party Sharing/Collection"
"2517","First Party Collection/Use"
"2518","First Party Collection/Use"
"2519","User Choice/Control"
"2520","First Party Collection/Use"
"2521","First Party Collection/Use"
"2522","First Party Collection/Use"
"2523","First Party Collection/Use"
"2524","First Party Collection/Use"
"2525","First Party Collection/Use"
"2526","First Party Collection/Use"
"2527","First Party Collection/Use"
"2528","First Party Collection/Use"
"2529","First Party Collection/Use"
"2530","First Party Collection/Use"
"2531","User Choice/Control"
"2532","First Party Collection/Use"
"2533","User Choice/Control"
"2534","First Party Collection/Use"
"2535","Third Party Sharing/Collection"
"2536","Third Party Sharing/Collection"
"2537","Other"
"2538","Third Party Sharing/Collection"
"2539","Third Party Sharing/Collection"
"2540","Third Party Sharing/Collection"
"2541","Third Party Sharing/Collection"
"2542","Third Party Sharing/Collection"
"2543","Third Party Sharing/Collection"
"2544","Third Party Sharing/Collection"
"2545","Third Party Sharing/Collection"
"2546","Third Party Sharing/Collection"
"2547","Other"
"2548","Other"
"2549","User Choice/Control"
"2550","User Choice/Control"
"2551","User Choice/Control"
"2552","User Choice/Control"
"2553","First Party Collection/Use"
"2554","First Party Collection/Use"
"2555","First Party Collection/Use"
"2556","First Party Collection/Use"
"2557","First Party Collection/Use"
"2558","First Party Collection/Use"
"2559","First Party Collection/Use"
"2560","First Party Collection/Use"
"2561","First Party Collection/Use"
"2562","First Party Collection/Use"
"2563","First Party Collection/Use"
"2564","First Party Collection/Use"
"2565","First Party Collection/Use"
"2566","First Party Collection/Use"
"2567","First Party Collection/Use"
"2568","First Party Collection/Use"
"2569","First Party Collection/Use"
"2570","First Party Collection/Use"
"2571","First Party Collection/Use"
"2572","First Party Collection/Use"
"2573","First Party Collection/Use"
"2574","First Party Collection/Use"
"2575","First Party Collection/Use"
"2576","First Party Collection/Use"
"2577","Third Party Sharing/Collection"
"2578","Third Party Sharing/Collection"
"2579","Third Party Sharing/Collection"
"2580","Third Party Sharing/Collection"
"2581","Third Party Sharing/Collection"
"2582","Third Party Sharing/Collection"
"2583","Third Party Sharing/Collection"
"2584","Other"
"2585","Third Party Sharing/Collection"
"2586","Third Party Sharing/Collection"
"2587","Third Party Sharing/Collection"
"2588","Third Party Sharing/Collection"
"2589","Third Party Sharing/Collection"
"2590","Third Party Sharing/Collection"
"2591","Other"
"2592","Third Party Sharing/Collection"
"2593","Third Party Sharing/Collection"
"2594","User Choice/Control"
"2595","Third Party Sharing/Collection"
"2596","Third Party Sharing/Collection"
"2597","Third Party Sharing/Collection"
"2598","Third Party Sharing/Collection"
"2599","Third Party Sharing/Collection"
"2600","Third Party Sharing/Collection"
"2601","Other"
"2602","Third Party Sharing/Collection"
"2603","Third Party Sharing/Collection"
"2604","Third Party Sharing/Collection"
"2605","Third Party Sharing/Collection"
"2606","Third Party Sharing/Collection"
"2607","Third Party Sharing/Collection"
"2608","Third Party Sharing/Collection"
"2609","User Choice/Control"
"2610","Third Party Sharing/Collection"
"2611","Third Party Sharing/Collection"
"2612","Third Party Sharing/Collection"
"2613","Third Party Sharing/Collection"
"2614","Third Party Sharing/Collection"
"2615","Third Party Sharing/Collection"
"2616","Third Party Sharing/Collection"
"2617","Third Party Sharing/Collection"
"2618","Third Party Sharing/Collection"
"2619","Third Party Sharing/Collection"
"2620","Other"
"2621","Third Party Sharing/Collection"
"2622","Third Party Sharing/Collection"
"2623","Third Party Sharing/Collection"
"2624","Third Party Sharing/Collection"
"2625","Third Party Sharing/Collection"
"2626","Third Party Sharing/Collection"
"2627","Third Party Sharing/Collection"
"2628","Third Party Sharing/Collection"
"2629","Third Party Sharing/Collection"
"2630","Third Party Sharing/Collection"
"2631","Third Party Sharing/Collection"
"2632","Third Party Sharing/Collection"
"2633","Other"
"2634","Third Party Sharing/Collection"
"2635","Third Party Sharing/Collection"
"2636","Third Party Sharing/Collection"
"2637","Third Party Sharing/Collection"
"2638","Third Party Sharing/Collection"
"2639","Third Party Sharing/Collection"
"2640","Other"
"2641","Third Party Sharing/Collection"
"2642","Third Party Sharing/Collection"
"2643","Third Party Sharing/Collection"
"2644","First Party Collection/Use"
"2645","First Party Collection/Use"
"2646","First Party Collection/Use"
"2647","First Party Collection/Use"
"2648","First Party Collection/Use"
"2649","Other"
"2650","Third Party Sharing/Collection"
"2651","Third Party Sharing/Collection"
"2652","Third Party Sharing/Collection"
"2653","Third Party Sharing/Collection"
"2654","Third Party Sharing/Collection"
"2655","Third Party Sharing/Collection"
"2656","Third Party Sharing/Collection"
"2657","Policy Change"
"2658","Policy Change"
"2659","Third Party Sharing/Collection"
"2660","User Choice/Control"
"2661","Data Security"
"2662","Data Security"
"2663","Data Security"
"2664","Data Security"
"2665","Data Security"
"2666","Data Security"
"2667","Data Security"
"2668","User Access, Edit and Deletion"
"2669","Data Retention"
"2670","Data Retention"
"2671","Data Retention"
"2672","Data Retention"
"2673","User Access, Edit and Deletion"
"2674","Data Retention"
"2675","Data Retention"
"2676","Third Party Sharing/Collection"
"2677","First Party Collection/Use"
"2678","First Party Collection/Use"
"2679","Third Party Sharing/Collection"
"2680","Third Party Sharing/Collection"
"2681","Third Party Sharing/Collection"
"2682","User Choice/Control"
"2683","Other"
"2684","User Choice/Control"
"2685","User Choice/Control"
"2686","User Choice/Control"
"2687","User Access, Edit and Deletion"
"2688","User Choice/Control"
"2689","Other"
"2690","First Party Collection/Use"
"2691","Other"
"2692","Other"
"2693","User Access, Edit and Deletion"
"2694","User Access, Edit and Deletion"
"2695","User Access, Edit and Deletion"
"2696","User Access, Edit and Deletion"
"2697","User Access, Edit and Deletion"
"2698","User Access, Edit and Deletion"
"2699","User Access, Edit and Deletion"
"2700","Other"
"2701","User Access, Edit and Deletion"
"2702","User Access, Edit and Deletion"
"2703","User Access, Edit and Deletion"
"2704","User Access, Edit and Deletion"
"2705","User Access, Edit and Deletion"
"2706","User Access, Edit and Deletion"
"2707","Other"
"2708","User Access, Edit and Deletion"
"2709","User Choice/Control"
"2710","First Party Collection/Use"
"2711","First Party Collection/Use"
"2712","User Choice/Control"
"2713","User Choice/Control"
"2714","User Choice/Control"
"2715","User Choice/Control"
"2716","International and Specific Audiences"
"2717","Other"
"2718","International and Specific Audiences"
"2719","Data Security"
"2720","Third Party Sharing/Collection"
"2721","Third Party Sharing/Collection"
"2722","Third Party Sharing/Collection"
"2723","Third Party Sharing/Collection"
"2724","Third Party Sharing/Collection"
"2725","Third Party Sharing/Collection"
"2726","Third Party Sharing/Collection"
"2727","Other"
"2728","Third Party Sharing/Collection"
"2729","International and Specific Audiences"
"2730","Other"
"2731","User Choice/Control"
"2732","International and Specific Audiences"
"2733","International and Specific Audiences"
"2734","Other"
"2735","Data Security"
"2736","Other"
"2737","Data Security"
"2738","Data Security"
"2739","Other"
"2740","Third Party Sharing/Collection"
"2741","Other"
"2742","Other"
"2743","Policy Change"
"2744","Policy Change"
"2745","Policy Change"
"2746","Policy Change"
"2747","Other"
"2748","Policy Change"
"2749","Other"
"2750","Other"
"2751","First Party Collection/Use"
"2752","Third Party Sharing/Collection"
"2753","First Party Collection/Use"
"2754","Third Party Sharing/Collection"
"2755","First Party Collection/Use"
"2756","First Party Collection/Use"
"2757","User Choice/Control"
"2758","User Choice/Control"
"2759","First Party Collection/Use"
"2760","User Choice/Control"
"2761","Other"
"2762","First Party Collection/Use"
"2763","Third Party Sharing/Collection"
"2764","User Choice/Control"
"2765","User Choice/Control"
"2766","Third Party Sharing/Collection"
"2767","User Choice/Control"
"2768","First Party Collection/Use"
"2769","Third Party Sharing/Collection"
"2770","Other"
"2771","Third Party Sharing/Collection"
"2772","Other"
"2773","Data Security"
"2774","Third Party Sharing/Collection"
"2775","First Party Collection/Use"
"2776","Third Party Sharing/Collection"
"2777","Third Party Sharing/Collection"
"2778","First Party Collection/Use"
"2779","Third Party Sharing/Collection"
"2780","User Choice/Control"
"2781","Data Security"
"2782","Third Party Sharing/Collection"
"2783","Third Party Sharing/Collection"
"2784","Other"
"2785","First Party Collection/Use"
"2786","User Choice/Control"
"2787","Third Party Sharing/Collection"
"2788","User Choice/Control"
"2789","First Party Collection/Use"
"2790","Third Party Sharing/Collection"
"2791","First Party Collection/Use"
"2792","Third Party Sharing/Collection"
"2793","User Choice/Control"
"2794","User Choice/Control"
"2795","Third Party Sharing/Collection"
"2796","First Party Collection/Use"
"2797","Third Party Sharing/Collection"
"2798","User Choice/Control"
"2799","Third Party Sharing/Collection"
"2800","First Party Collection/Use"
"2801","User Choice/Control"
"2802","User Choice/Control"
"2803","User Choice/Control"
"2804","User Choice/Control"
"2805","User Choice/Control"
"2806","User Choice/Control"
"2807","User Choice/Control"
"2808","User Choice/Control"
"2809","Other"
"2810","User Choice/Control"
"2811","Third Party Sharing/Collection"
"2812","Other"
"2813","Third Party Sharing/Collection"
"2814","Third Party Sharing/Collection"
"2815","International and Specific Audiences"
"2816","Other"
"2817","User Choice/Control"
"2818","Other"
"2819","User Choice/Control"
"2820","User Choice/Control"
"2821","User Choice/Control"
"2822","User Choice/Control"
"2823","Other"
"2824","Other"
"2825","Other"
"2826","Other"
"2827","International and Specific Audiences"
"2828","International and Specific Audiences"
"2829","First Party Collection/Use"
"2830","Third Party Sharing/Collection"
"2831","Other"
"2832","Other"
"2833","First Party Collection/Use"
"2834","First Party Collection/Use"
"2835","First Party Collection/Use"
"2836","Other"
"2837","First Party Collection/Use"
"2838","Other"
"2839","Other"
"2840","First Party Collection/Use"
"2841","First Party Collection/Use"
"2842","First Party Collection/Use"
"2843","First Party Collection/Use"
"2844","First Party Collection/Use"
"2845","First Party Collection/Use"
"2846","First Party Collection/Use"
"2847","First Party Collection/Use"
"2848","First Party Collection/Use"
"2849","First Party Collection/Use"
"2850","First Party Collection/Use"
"2851","First Party Collection/Use"
"2852","First Party Collection/Use"
"2853","First Party Collection/Use"
"2854","First Party Collection/Use"
"2855","First Party Collection/Use"
"2856","First Party Collection/Use"
"2857","First Party Collection/Use"
"2858","First Party Collection/Use"
"2859","First Party Collection/Use"
"2860","First Party Collection/Use"
"2861","First Party Collection/Use"
"2862","First Party Collection/Use"
"2863","First Party Collection/Use"
"2864","First Party Collection/Use"
"2865","First Party Collection/Use"
"2866","First Party Collection/Use"
"2867","Other"
"2868","First Party Collection/Use"
"2869","First Party Collection/Use"
"2870","User Choice/Control"
"2871","First Party Collection/Use"
"2872","First Party Collection/Use"
"2873","First Party Collection/Use"
"2874","First Party Collection/Use"
"2875","First Party Collection/Use"
"2876","Other"
"2877","First Party Collection/Use"
"2878","First Party Collection/Use"
"2879","Other"
"2880","First Party Collection/Use"
"2881","First Party Collection/Use"
"2882","First Party Collection/Use"
"2883","First Party Collection/Use"
"2884","First Party Collection/Use"
"2885","First Party Collection/Use"
"2886","First Party Collection/Use"
"2887","First Party Collection/Use"
"2888","First Party Collection/Use"
"2889","First Party Collection/Use"
"2890","First Party Collection/Use"
"2891","First Party Collection/Use"
"2892","First Party Collection/Use"
"2893","First Party Collection/Use"
"2894","First Party Collection/Use"
"2895","First Party Collection/Use"
"2896","Other"
"2897","Other"
"2898","First Party Collection/Use"
"2899","First Party Collection/Use"
"2900","First Party Collection/Use"
"2901","First Party Collection/Use"
"2902","First Party Collection/Use"
"2903","First Party Collection/Use"
"2904","First Party Collection/Use"
"2905","Third Party Sharing/Collection"
"2906","Third Party Sharing/Collection"
"2907","Other"
"2908","First Party Collection/Use"
"2909","First Party Collection/Use"
"2910","First Party Collection/Use"
"2911","First Party Collection/Use"
"2912","First Party Collection/Use"
"2913","First Party Collection/Use"
"2914","First Party Collection/Use"
"2915","First Party Collection/Use"
"2916","First Party Collection/Use"
"2917","First Party Collection/Use"
"2918","First Party Collection/Use"
"2919","First Party Collection/Use"
"2920","First Party Collection/Use"
"2921","First Party Collection/Use"
"2922","First Party Collection/Use"
"2923","First Party Collection/Use"
"2924","First Party Collection/Use"
"2925","First Party Collection/Use"
"2926","First Party Collection/Use"
"2927","Other"
"2928","User Choice/Control"
"2929","User Choice/Control"
"2930","User Choice/Control"
"2931","User Choice/Control"
"2932","User Choice/Control"
"2933","User Choice/Control"
"2934","Other"
"2935","First Party Collection/Use"
"2936","First Party Collection/Use"
"2937","First Party Collection/Use"
"2938","First Party Collection/Use"
"2939","First Party Collection/Use"
"2940","First Party Collection/Use"
"2941","First Party Collection/Use"
"2942","First Party Collection/Use"
"2943","First Party Collection/Use"
"2944","First Party Collection/Use"
"2945","Other"
"2946","Other"
"2947","First Party Collection/Use"
"2948","User Choice/Control"
"2949","First Party Collection/Use"
"2950","First Party Collection/Use"
"2951","Other"
"2952","User Choice/Control"
"2953","First Party Collection/Use"
"2954","First Party Collection/Use"
"2955","First Party Collection/Use"
"2956","First Party Collection/Use"
"2957","First Party Collection/Use"
"2958","First Party Collection/Use"
"2959","First Party Collection/Use"
"2960","First Party Collection/Use"
"2961","First Party Collection/Use"
"2962","First Party Collection/Use"
"2963","First Party Collection/Use"
"2964","First Party Collection/Use"
"2965","Other"
"2966","First Party Collection/Use"
"2967","First Party Collection/Use"
"2968","First Party Collection/Use"
"2969","First Party Collection/Use"
"2970","First Party Collection/Use"
"2971","First Party Collection/Use"
"2972","First Party Collection/Use"
"2973","First Party Collection/Use"
"2974","First Party Collection/Use"
"2975","First Party Collection/Use"
"2976","First Party Collection/Use"
"2977","First Party Collection/Use"
"2978","First Party Collection/Use"
"2979","Third Party Sharing/Collection"
"2980","Third Party Sharing/Collection"
"2981","Other"
"2982","Third Party Sharing/Collection"
"2983","Other"
"2984","First Party Collection/Use"
"2985","First Party Collection/Use"
"2986","First Party Collection/Use"
"2987","First Party Collection/Use"
"2988","First Party Collection/Use"
"2989","First Party Collection/Use"
"2990","First Party Collection/Use"
"2991","First Party Collection/Use"
"2992","First Party Collection/Use"
"2993","First Party Collection/Use"
"2994","First Party Collection/Use"
"2995","First Party Collection/Use"
"2996","First Party Collection/Use"
"2997","First Party Collection/Use"
"2998","First Party Collection/Use"
"2999","First Party Collection/Use"
"3000","First Party Collection/Use"
"3001","First Party Collection/Use"
"3002","First Party Collection/Use"
"3003","First Party Collection/Use"
"3004","First Party Collection/Use"
"3005","First Party Collection/Use"
"3006","First Party Collection/Use"
"3007","First Party Collection/Use"
"3008","First Party Collection/Use"
"3009","First Party Collection/Use"
"3010","First Party Collection/Use"
"3011","Other"
"3012","First Party Collection/Use"
"3013","First Party Collection/Use"
"3014","First Party Collection/Use"
"3015","First Party Collection/Use"
"3016","First Party Collection/Use"
"3017","First Party Collection/Use"
"3018","First Party Collection/Use"
"3019","First Party Collection/Use"
"3020","First Party Collection/Use"
"3021","First Party Collection/Use"
"3022","First Party Collection/Use"
"3023","First Party Collection/Use"
"3024","First Party Collection/Use"
"3025","Third Party Sharing/Collection"
"3026","First Party Collection/Use"
"3027","First Party Collection/Use"
"3028","Data Security"
"3029","Third Party Sharing/Collection"
"3030","Third Party Sharing/Collection"
"3031","First Party Collection/Use"
"3032","First Party Collection/Use"
"3033","Other"
"3034","First Party Collection/Use"
"3035","First Party Collection/Use"
"3036","User Choice/Control"
"3037","User Choice/Control"
"3038","Other"
"3039","Other"
"3040","First Party Collection/Use"
"3041","Data Security"
"3042","Other"
"3043","Other"
"3044","User Choice/Control"
"3045","User Choice/Control"
"3046","User Choice/Control"
"3047","User Choice/Control"
"3048","Other"
"3049","User Choice/Control"
"3050","User Choice/Control"
"3051","Other"
"3052","Other"
"3053","Third Party Sharing/Collection"
"3054","Other"
"3055","Other"
"3056","User Choice/Control"
"3057","User Choice/Control"
"3058","User Choice/Control"
"3059","Other"
"3060","Data Security"
"3061","User Choice/Control"
"3062","User Choice/Control"
"3063","User Choice/Control"
"3064","Other"
"3065","User Choice/Control"
"3066","User Choice/Control"
"3067","User Choice/Control"
"3068","User Choice/Control"
"3069","Other"
"3070","User Choice/Control"
"3071","User Choice/Control"
"3072","User Choice/Control"
"3073","User Choice/Control"
"3074","Other"
"3075","Other"
"3076","User Choice/Control"
"3077","Other"
"3078","Other"
"3079","Other"
"3080","Other"
"3081","Other"
"3082","Other"
"3083","Third Party Sharing/Collection"
"3084","Third Party Sharing/Collection"
"3085","Other"
"3086","Other"
"3087","Data Security"
"3088","Data Security"
"3089","Data Security"
"3090","Data Security"
"3091","Other"
"3092","Other"
"3093","Third Party Sharing/Collection"
"3094","Third Party Sharing/Collection"
"3095","Third Party Sharing/Collection"
"3096","Other"
"3097","Other"
"3098","Other"
"3099","Third Party Sharing/Collection"
"3100","Other"
"3101","Other"
"3102","User Access, Edit and Deletion"
"3103","User Access, Edit and Deletion"
"3104","International and Specific Audiences"
"3105","International and Specific Audiences"
"3106","Other"
"3107","User Choice/Control"
"3108","Other"
"3109","Third Party Sharing/Collection"
"3110","Third Party Sharing/Collection"
"3111","Policy Change"
"3112","Policy Change"
"3113","Other"
"3114","Policy Change"
"3115","Other"
"3116","Other"
"3117","Other"
"3118","Other"
"3119","Other"
"3120","Other"
"3121","First Party Collection/Use"
"3122","First Party Collection/Use"
"3123","First Party Collection/Use"
"3124","User Choice/Control"
"3125","User Choice/Control"
"3126","Other"
"3127","Third Party Sharing/Collection"
"3128","Other"
"3129","Other"
"3130","Other"
"3131","Other"
"3132","Other"
"3133","Other"
"3134","Other"
"3135","Other"
"3136","Other"
"3137","Other"
"3138","First Party Collection/Use"
"3139","First Party Collection/Use"
"3140","First Party Collection/Use"
"3141","Third Party Sharing/Collection"
"3142","Other"
"3143","User Choice/Control"
"3144","User Choice/Control"
"3145","Other"
"3146","First Party Collection/Use"
"3147","First Party Collection/Use"
"3148","Other"
"3149","Other"
"3150","User Choice/Control"
"3151","Other"
"3152","Other"
"3153","Other"
"3154","Other"
"3155","User Choice/Control"
"3156","User Choice/Control"
"3157","Other"
"3158","Data Security"
"3159","Other"
"3160","Other"
"3161","Data Security"
"3162","Data Security"
"3163","First Party Collection/Use"
"3164","First Party Collection/Use"
"3165","First Party Collection/Use"
"3166","First Party Collection/Use"
"3167","First Party Collection/Use"
"3168","First Party Collection/Use"
"3169","First Party Collection/Use"
"3170","First Party Collection/Use"
"3171","Other"
"3172","Other"
"3173","First Party Collection/Use"
"3174","First Party Collection/Use"
"3175","Other"
"3176","Other"
"3177","Third Party Sharing/Collection"
"3178","First Party Collection/Use"
"3179","First Party Collection/Use"
"3180","Third Party Sharing/Collection"
"3181","Third Party Sharing/Collection"
"3182","First Party Collection/Use"
"3183","First Party Collection/Use"
"3184","First Party Collection/Use"
"3185","First Party Collection/Use"
"3186","First Party Collection/Use"
"3187","First Party Collection/Use"
"3188","First Party Collection/Use"
"3189","First Party Collection/Use"
"3190","First Party Collection/Use"
"3191","First Party Collection/Use"
"3192","Third Party Sharing/Collection"
"3193","Third Party Sharing/Collection"
"3194","Third Party Sharing/Collection"
"3195","First Party Collection/Use"
"3196","First Party Collection/Use"
"3197","Third Party Sharing/Collection"
"3198","First Party Collection/Use"
"3199","First Party Collection/Use"
"3200","Third Party Sharing/Collection"
"3201","Third Party Sharing/Collection"
"3202","Third Party Sharing/Collection"
"3203","Third Party Sharing/Collection"
"3204","First Party Collection/Use"
"3205","First Party Collection/Use"
"3206","First Party Collection/Use"
"3207","First Party Collection/Use"
"3208","First Party Collection/Use"
"3209","Third Party Sharing/Collection"
"3210","Third Party Sharing/Collection"
"3211","Third Party Sharing/Collection"
"3212","First Party Collection/Use"
"3213","First Party Collection/Use"
"3214","Third Party Sharing/Collection"
"3215","Third Party Sharing/Collection"
"3216","Third Party Sharing/Collection"
"3217","Third Party Sharing/Collection"
"3218","First Party Collection/Use"
"3219","First Party Collection/Use"
"3220","Third Party Sharing/Collection"
"3221","First Party Collection/Use"
"3222","Third Party Sharing/Collection"
"3223","Third Party Sharing/Collection"
"3224","Third Party Sharing/Collection"
"3225","Third Party Sharing/Collection"
"3226","Third Party Sharing/Collection"
"3227","International and Specific Audiences"
"3228","Third Party Sharing/Collection"
"3229","Third Party Sharing/Collection"
"3230","Third Party Sharing/Collection"
"3231","Third Party Sharing/Collection"
"3232","Third Party Sharing/Collection"
"3233","Data Security"
"3234","First Party Collection/Use"
"3235","First Party Collection/Use"
"3236","Third Party Sharing/Collection"
"3237","Third Party Sharing/Collection"
"3238","Third Party Sharing/Collection"
"3239","Third Party Sharing/Collection"
"3240","Third Party Sharing/Collection"
"3241","Third Party Sharing/Collection"
"3242","Third Party Sharing/Collection"
"3243","Third Party Sharing/Collection"
"3244","Third Party Sharing/Collection"
"3245","Third Party Sharing/Collection"
"3246","Third Party Sharing/Collection"
"3247","Third Party Sharing/Collection"
"3248","Third Party Sharing/Collection"
"3249","Third Party Sharing/Collection"
"3250","Third Party Sharing/Collection"
"3251","Third Party Sharing/Collection"
"3252","Third Party Sharing/Collection"
"3253","Third Party Sharing/Collection"
"3254","Data Security"
"3255","Data Security"
"3256","Data Security"
"3257","Data Security"
"3258","Data Security"
"3259","Data Security"
"3260","Data Security"
"3261","Data Security"
"3262","Data Security"
"3263","Data Security"
"3264","Data Security"
"3265","Data Security"
"3266","Data Security"
"3267","Data Security"
"3268","Data Security"
"3269","Other"
"3270","Other"
"3271","Data Security"
"3272","Data Security"
"3273","User Choice/Control"
"3274","User Choice/Control"
"3275","User Choice/Control"
"3276","User Choice/Control"
"3277","First Party Collection/Use"
"3278","First Party Collection/Use"
"3279","First Party Collection/Use"
"3280","First Party Collection/Use"
"3281","Other"
"3282","First Party Collection/Use"
"3283","First Party Collection/Use"
"3284","First Party Collection/Use"
"3285","Other"
"3286","Data Retention"
"3287","Data Retention"
"3288","Data Retention"
"3289","First Party Collection/Use"
"3290","First Party Collection/Use"
"3291","First Party Collection/Use"
"3292","First Party Collection/Use"
"3293","First Party Collection/Use"
"3294","First Party Collection/Use"
"3295","First Party Collection/Use"
"3296","First Party Collection/Use"
"3297","First Party Collection/Use"
"3298","First Party Collection/Use"
"3299","First Party Collection/Use"
"3300","First Party Collection/Use"
"3301","First Party Collection/Use"
"3302","First Party Collection/Use"
"3303","First Party Collection/Use"
"3304","First Party Collection/Use"
"3305","First Party Collection/Use"
"3306","First Party Collection/Use"
"3307","Third Party Sharing/Collection"
"3308","First Party Collection/Use"
"3309","Third Party Sharing/Collection"
"3310","Third Party Sharing/Collection"
"3311","Third Party Sharing/Collection"
"3312","Data Security"
"3313","First Party Collection/Use"
"3314","Third Party Sharing/Collection"
"3315","Third Party Sharing/Collection"
"3316","Other"
"3317","User Choice/Control"
"3318","User Choice/Control"
"3319","User Choice/Control"
"3320","User Choice/Control"
"3321","Other"
"3322","User Choice/Control"
"3323","User Choice/Control"
"3324","User Access, Edit and Deletion"
"3325","Other"
"3326","User Choice/Control"
"3327","User Choice/Control"
"3328","User Choice/Control"
"3329","Other"
"3330","Third Party Sharing/Collection"
"3331","Third Party Sharing/Collection"
"3332","First Party Collection/Use"
"3333","First Party Collection/Use"
"3334","First Party Collection/Use"
"3335","First Party Collection/Use"
"3336","First Party Collection/Use"
